Team,Player Name,Player Link
Manchester City,Ederson,https://cdn.futwiz.com/assets/img/fc24/social/cards/19621.png?v=101814.png
Manchester City,Nathan Aké,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/img/cards?playerid=388
Manchester City,Rúben Dias,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/43.png?v=132805.png
Manchester City,Manuel Akanji,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/389.png?v=130959.png
Manchester City,Kyle Walker,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/125.png?v=134025.png
Manchester City,Rodri,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc24/social/cards/22670.png?v=152103.png
Manchester City,Jérémy Doku,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/798.png?v=130946.png
Manchester City,Julián Álvarez,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/387.png?v=135848.png
Manchester City,Kevin De Bruyne,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/56.png?v=132741.png
Manchester City,Phil Foden,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/46.png?v=132751.png
Manchester City,Erling Haaland,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/59.png?v=132844.png
Manchester City,Bernardo Silva,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/img/cards?playerid=39
Manchester City,Jack Grealish,https://www.futwiz.com/en/fc24/image?url=https://cdn.futwiz.com/assets/img/fc25/social/cards/126.png?v=133940.png
Manchester United,Antony,https://cdn.futwiz.com/assets/img/fc24/social/cards/650.png?v=075745.png
Manchester United,Willy Kambwala,https://cdn.futwiz.com/img/cards?playerid=10543
Manchester United,Christian Eriksen,https://cdn.futwiz.com/img/cards?playerid=1160
Manchester United,Omri Forson,https://cdn.futwiz.com/img/cards?playerid=10508
Manchester United,Ethan Weatley,https://cdn.futwiz.com/img/cards?playerid=12152
Manchester United,Altay Bayindir,https://cdn.futwiz.com/img/cards?playerid=1629
Manchester United,Habeeb Ogunneye,https://cdn.futwiz.com/img/cards?playerid=16383
Manchester United,Harry Amass,https://cdn.futwiz.com/img/cards?playerid=14661
Manchester United,Toby Collyer,https://cdn.futwiz.com/img/cards?playerid=15369
Manchester United,Harry Maguire,https://cdn.futwiz.com/img/cards?playerid=744
Manchester United,Victor Lindelöf,https://cdn.futwiz.com/img/cards?playerid=1291
Manchester United,Raphaël Varane,https://cdn.futwiz.com/img/cards?playerid=584
Manchester United,Bruno Fernandes,https://cdn.futwiz.com/img/cards?playerid=356
Manchester United,Marcus Rashford,https://cdn.futwiz.com/assets/img/fc25/social/cards/678.png?v=135556.png
Liverpool,Harvey Elliott,https://cdn.futwiz.com/assets/img/fc25/social/cards/1161.png?v=131804.png
Liverpool,Mohamed Salah,https://cdn.futwiz.com/assets/img/fc25/social/cards/47.png?v=132737.png
Liverpool,Cody Gakpo,https://cdn.futwiz.com/img/cards?playerid=183
Liverpool,Luis Díaz,https://cdn.futwiz.com/assets/img/fc25/social/cards/185.png?v=134856.png
Liverpool,Wataru Endo,https://cdn.futwiz.com/img/cards?playerid=795
Liverpool,Alexis Mac Allister,https://cdn.futwiz.com/assets/img/fc25/social/cards/93.png?v=134102.png
Liverpool,Trent Alexander-Arnold,https://cdn.futwiz.com/assets/img/fc25/social/cards/92.png?v=134502.png
Liverpool,Andrew Robertson,https://cdn.futwiz.com/img/cards?playerid=89
Liverpool,Virgil van Dijk,https://cdn.futwiz.com/assets/img/fc25/social/cards/49.png?v=132813.png
Liverpool,Alisson,https://cdn.futwiz.com/assets/img/fc25/social/cards/52.png?v=131312.png
Liverpool,Joe Gomez,https://cdn.futwiz.com/assets/img/fc25/social/cards/776.png?v=134133.png
Liverpool,Darwin Núñez,https://cdn.futwiz.com/assets/img/fc25/social/cards/615.png?v=135228.png
Liverpool,Stefan Bajčetić,https://cdn.futwiz.com/assets/img/fc25/social/cards/615.png?v=135228.png
Arsenal,Gabriel Jesus,https://cdn.futwiz.com/assets/img/fc25/social/cards/504.png?v=141132.png
Arsenal,"Benjamin White",https://cdn.futwiz.com/assets/img/fc25/social/cards/463.png?v=133941.png
Arsenal,Bukayo Saka,https://cdn.futwiz.com/assets/img/fc25/social/cards/99.png?v=130304.png
Arsenal,Leandro Trossard,https://cdn.futwiz.com/assets/img/fc25/social/cards/101.png?v=134355.png
Arsenal,David Raya,https://cdn.futwiz.com/img/cards?playerid=407
Arsenal,Aaron Ramsdale,https://cdn.futwiz.com/assets/img/fc25/social/cards/679.png?v=141043.png
Arsenal,Oleksandr Zinchenko,https://cdn.futwiz.com/img/cards?playerid=1033
Arsenal,Kai Havertz,https://cdn.futwiz.com/assets/img/fc25/social/cards/435.png?v=144439.png
Arsenal,Declan Rice,https://cdn.futwiz.com/assets/img/fc25/social/cards/98.png?v=145314.png
